"id","title","band","model","variant","fuelType","bodytype","tramsmission","seating","year","milage","color","image","place","price"
"41256","2012 Toyota Avanza 1.3 G MPV","Toyota","Avanza","G","Pertamax","MPV","Automatic","7","2012","62500","Hitam","https://img1.icarcdn.com/8419806/thumb-l_used-car-mobil123-toyota-avanza-g-mpv-indonesia_8419806_hyKMVmA56CWEQcNm6NcXn5.jpg?smia=xTM","Jakarta Selatan","112000000"
"5637","2014 Honda Mobilio 1.5 E Prestige MPV","Honda","Mobilio","E Prestige","Pertamax","MPV","Automatic","7","2014","70000","Putih","https://img5.icarcdn.com/0798656/thumb-l_used-car-mobil123-honda-mobilio-e-prestige-mpv-indonesia_0798656_wcHBOXdfSAGGGNUSGOfAIp.jpg?smia=xTM","Makasar","135000000"
"61059","2014 Ford EcoSport 1.5 Titanium SUV","Ford","EcoSport","Titanium","Pertamax","SUV","Automatic","5","2014","108000","Silver","https://img4.icarcdn.com/3308465/thumb-l_used-car-mobil123-ford-ecosport-titanium-suv-indonesia_3308465_V1FwblazUFP9S9q8BtmxUT.jpg?smia=xTM","Bekasi","133000000"
"75984","2007 Toyota Kijang Innova 2.0 E MPV","Toyota","Kijang Innova","E","Pertamax","MPV","Manual","8","2007","46000","Hitam","https://img1.icarcdn.com/9066856/thumb-l_used-car-mobil123-toyota-kijang-innova-e-mpv-indonesia_9066856_EQ8LQ4EokMfNHexB0Pw2D5.jpg?smia=xTM","Jakarta Barat","98000000"
"35687","2017 Daihatsu Ayla 1.0 X Hatchback","Daihatsu","Ayla","X","Pertamax","Hatchback","Manual","5","2017","45000","Merah","https://img1.icarcdn.com/5359506/thumb-l_used-car-mobil123-daihatsu-ayla-x-hatchback-indonesia_5359506_a1V78wPknXP8jaHGkEKm12.jpg?smia=xTM","Surabaya","110000000"
"74769","2012 Suzuki Swift 1.5 GT3 Hatchback","Suzuki","Swift","GT3","Pertamax","Hatchback","Manual","5","2012","40000","Putih","https://img3.icarcdn.com/4722016/thumb-l_used-car-mobil123-suzuki-swift-gt3-hatchback-indonesia_4722016_VhmAdvYYe3PHzfFajLwrKg.jpg?smia=xTM","Makasar","125000000"
"26695","2017 Toyota Fortuner 2.4 VRZ SUV","Toyota","Fortuner","VRZ","Solar","SUV","Automatic","7","2017","32000","Hitam","https://img5.icarcdn.com/0943756/thumb-l_used-car-mobil123-toyota-fortuner-vrz-suv-indonesia_0943756_9KjMFG0SExbWJdjlWiA5Il.jpg?smia=xTM","Jakarta Timur","380000000"
"73531","2013 Honda CR-V 2.4 2.4 SUV","Honda","CR-V","2.4","Pertamax","SUV","Automatic","5","2013","64000","Hitam","https://img3.icarcdn.com/3458216/thumb-l_used-car-mobil123-honda-cr-v-2.4-suv-indonesia_3458216_geHyX7N4H8Fw0VxeC88sg2.jpg?smia=xTM","Tangerang","213500000"
"74843","2011 Isuzu Panther 2.5 SMART SUV","Isuzu","Panther","SMART","Solar","SUV","Manual","7","2011","200000","Silver","https://img5.icarcdn.com/8529706/thumb-l_used-car-mobil123-isuzu-panther-smart-suv-indonesia_8529706_RTUh7zoTnzeBCuRNv6jk9G.jpg?smia=xTM","Sleman","115000000"
"78168","2017 Toyota Avanza 1.3 G MPV","Toyota","Avanza","G","Pertamax","MPV","Manual","7","2017","102500","Hitam","https://img5.icarcdn.com/4749756/thumb-l_used-car-mobil123-toyota-avanza-g-mpv-indonesia_4749756_2OZjLImFu4M8mTWWf23gQV.jpg?smia=xTM","Tangerang","140000000"
"51388","2011 Mitsubishi Pajero Sport 2.5 Exceed SUV","Mitsubishi","Pajero Sport","Exceed","Solar","SUV","Automatic","7","2011","190000","Hitam","https://img3.icarcdn.com/6736016/thumb-l_used-car-mobil123-mitsubishi-pajero-sport-exceed-suv-indonesia_6736016_U62zQ5K36lN1Iu9gEeCupj.jpg?smia=xTM","Bekasi","225000000"
"17315","2017 Toyota Calya 1.2 G MPV","Toyota","Calya","G","Pertamax","MPV","Manual","7","2017","52500","Putih","https://img3.icarcdn.com/4702556/thumb-l_used-car-mobil123-toyota-calya-g-mpv-indonesia_4702556_ArKBtHCkzeuLahHRo60jky.jpeg?smia=xTM","Kediri","115000000"
"5335","2016 Suzuki Ertiga 1.4 GX MPV","Suzuki","Ertiga","GX","Pertamax","MPV","Automatic","7","2016","42000","Putih","https://img4.icarcdn.com/8889226/thumb-l_used-car-mobil123-suzuki-ertiga-gx-mpv-indonesia_8889226_T1sTnnY9XJJ2UUWAdUTXzv.jpg?smia=xTM","Surabaya","170000000"
"61972","2005 Suzuki APV 1.5 X Manual MPV Minivans","Suzuki","APV","X Manual","Pertamax","MPV Minivans","Manual","7","2005","196326","Hitam","https://img1.icarcdn.com/0993456/thumb-l_used-car-mobil123-suzuki-apv-x-manual-mpv-minivans-indonesia_0993456_JeyFjUBYkf7AQDpwSvaIr5.jpg?smia=xTM","Surabaya","70000000"
"72223","2017 Mitsubishi Pajero Sport 2.4 Dakar SUV","Mitsubishi","Pajero Sport","Dakar","Solar","SUV","Automatic","7","2017","17212","Putih","https://img5.icarcdn.com/5756946/thumb-l_used-car-mobil123-mitsubishi-pajero-sport-dakar-suv-indonesia_5756946_Em29OAKUFRYOqTzKf1V4ey.jpg?smia=xTM","Jember","440000000"
"33674","1996 Toyota Kijang 1.8 MPV Minivans","Toyota","Kijang",,"Pertamax","MPV Minivans","Manual","7","1996","202500","Merah","https://img1.icarcdn.com/2833015/thumb-l_used-car-mobil123-toyota-kijang-mpv-minivans-indonesia_2833015_28QhAzjNCrfgi6LaLzjGNv.jpg?smia=xTM","Jakarta Timur","36000000"
"36623","2016 BMW 528i 2.0 Luxury Sedan","BMW","528i","Luxury","Pertamax","Sedan","Automatic","5","2016","33000","Hitam","https://img2.icarcdn.com/7046506/thumb-l_used-car-mobil123-bmw-5-series-528i-luxury-sedan-indonesia_7046506_38tOlbWE3O33GsGTGOArgU.jpg?smia=xTM","Jakarta Utara","610000000"
"83829","2012 Rolls-Royce Ghost 6.6 V12 Sedan","Rolls-Royce","Ghost","V12","Pertamax","Sedan","Automatic","5","2012","9000","Hitam","https://img2.icarcdn.com/1703775/thumb-l_used-car-mobil123-rolls-royce-ghost-v12-sedan-indonesia_1703775_uWJXxGPm9FwNbbDRgwcR52.jpg?smia=xTM","Jakarta Selatan","5250000000"
"26399","2009 Suzuki Swift 1.5 ST Hatchback","Suzuki","Swift","ST","Pertamax","Hatchback","Automatic","5","2009","127500","Hitam","https://img4.icarcdn.com/4310656/thumb-l_used-car-mobil123-suzuki-swift-st-hatchback-indonesia_4310656_J6lN0RBH1r8JQTXq5CsUq2.jpg?smia=xTM","Jakarta Pusat","85000000"
"72629","2017 Honda Mobilio 1.5 E MPV","Honda","Mobilio","E","Pertamax","MPV","Manual","7","2017","37500","Abu-abu","https://img3.icarcdn.com/3442606/thumb-l_used-car-mobil123-honda-mobilio-e-mpv-indonesia_3442606_cIHb80N1s6cp4I9O6e9szw.jpg?smia=xTM","Bekasi","150000000"
"51376","2013 Jeep Wrangler 3.6 Sport Unlimited SUV","Jeep","Wrangler","Sport Unlimited","Pertamax","SUV","Automatic","5","2013","67000","Orange","https://img4.icarcdn.com/4713746/thumb-l_used-car-mobil123-jeep-wrangler-sport-unlimited-suv-indonesia_4713746_f4hhRZgCs9ZMr0FfnycJlp.jpg?smia=xTM","Jakarta Selatan","860000000"
"9432","2013 Honda Freed 1.5 S MPV","Honda","Freed","S","Pertamax","MPV","Automatic","7","2013","52500","Silver","https://img2.icarcdn.com/5657215/thumb-l_used-car-mobil123-honda-freed-s-mpv-indonesia_5657215_ttsOZe3i0ZIBAl4zlYUqcx.jpg?smia=xTM","Depok","189000000"
"18327","2010 Toyota Alphard 2.4 S MPV","Toyota","Alphard","S","Pertamax","MPV","Automatic","7","2010","82500","Hitam","https://img1.icarcdn.com/1884906/thumb-l_used-car-mobil123-toyota-alphard-s-mpv-indonesia_1884906_t7rMPKXJOMntc99nGBys3r.jpeg?smia=xTM","Tangerang","290000000"
"22069","2012 Toyota Kijang Innova 2.5 G MPV","Toyota","Kijang Innova","G","Solar","MPV","Manual","8","2012","27500","Silver","https://img2.icarcdn.com/0629456/thumb-l_used-car-mobil123-toyota-kijang-innova-g-mpv-indonesia_0629456_VGcEHJBCRA0IMDj3B9Kyoo.jpg?smia=xTM","Jakarta Pusat","205000000"
